City,Car Name,Price,Year,Mileage,Fuel Type,Transmission,Car URL
New Delhi,Maruti Wagon R,Rs5.64 - 7.47 Lakh*,N/A,N/A,N/A,N/A,URL not available
New Delhi,Hyundai i20,Rs7.04 - 11.25 Lakh*,N/A,N/A,N/A,N/A,URL not available
New Delhi,Tata Altroz,Rs6.65 - 11.30 Lakh*,N/A,N/A,N/A,N/A,URL not available
New Delhi,Maruti Dzire,Rs6.84 - 10.19 Lakh*,N/A,N/A,N/A,N/A,URL not available
New Delhi,Hyundai Verna,Rs11.07 - 17.55 Lakh*,N/A,N/A,N/A,N/A,URL not available
New Delhi,Hyundai Aura,Rs6.54 - 9.11 Lakh*,N/A,N/A,N/A,N/A,URL not available
New Delhi,Volkswagen Virtus,Rs11.56 - 19.40 Lakh*,N/A,N/A,N/A,N/A,URL not available
New Delhi,Skoda Slavia,Rs10.34 - 18.24 Lakh*,N/A,N/A,N/A,N/A,URL not available
New Delhi,Honda Amaze,Rs8.10 - 11.20 Lakh*,N/A,N/A,N/A,N/A,URL not available
New Delhi,Maruti Ertiga,Rs8.84 - 13.13 Lakh*,N/A,N/A,N/A,N/A,URL not available
New Delhi,Toyota Innova Crysta,Rs19.99 - 26.82 Lakh*,N/A,N/A,N/A,N/A,URL not available
New Delhi,Kia Carens,Rs10.60 - 19.70 Lakh*,N/A,N/A,N/A,N/A,URL not available
New Delhi,Toyota Innova Hycross,Rs19.94 - 31.34 Lakh*,N/A,N/A,N/A,N/A,URL not available
New Delhi,Land Rover Defender,Rs1.04 - 2.79 Cr*,N/A,N/A,N/A,N/A,URL not available
New Delhi,Land Rover Range Rover,Rs2.40 - 4.98 Cr*,N/A,N/A,N/A,N/A,URL not available
New Delhi,Toyota Vellfire,Rs1.22 - 1.32 Cr*,N/A,N/A,N/A,N/A,URL not available
New Delhi,BMW XM,Rs2.60 Cr*,N/A,N/A,N/A,N/A,URL not available
New Delhi,BMW X5,Rs97 Lakh - 1.11 Cr*,N/A,N/A,N/A,N/A,URL not available
New Delhi,Land Rover Range Rover Velar,Rs87.90 Lakh*,N/A,N/A,N/A,N/A,URL not available
New Delhi,Mahindra BE 6,Rs18.90 - 26.90 Lakh*,N/A,N/A,N/A,N/A,URL not available
New Delhi,Mahindra XEV 9e,Rs21.90 - 30.50 Lakh*,N/A,N/A,N/A,N/A,URL not available
New Delhi,MG Windsor EV,Rs14 - 16 Lakh*,N/A,N/A,N/A,N/A,URL not available
New Delhi,Tata Curvv EV,Rs17.49 - 21.99 Lakh*,N/A,N/A,N/A,N/A,URL not available
New Delhi,MG Comet EV,Rs7 - 9.84 Lakh*,N/A,N/A,N/A,N/A,URL not available
New Delhi,Volkswagen Tiguan 2025,Rs55 LakhEstimated,N/A,N/A,N/A,N/A,URL not available
New Delhi,Skoda Kodiaq 2025,Rs40 LakhEstimated,N/A,N/A,N/A,N/A,URL not available
New Delhi,BMW 2 Series 2025,Rs46 LakhEstimated,N/A,N/A,N/A,N/A,URL not available
New Delhi,Renault Kiger 2025,Rs6 LakhEstimated,N/A,N/A,N/A,N/A,URL not available
New Delhi,Renault Triber 2025,Rs6 LakhEstimated,N/A,N/A,N/A,N/A,URL not available
New Delhi,Kia Carens 2025,Rs11 LakhEstimated,N/A,N/A,N/A,N/A,URL not available
New Delhi,Lamborghini Temerario,Rs6 CrEstimated,N/A,N/A,N/A,N/A,URL not available
New Delhi,Audi Q6 e-tron,Rs1 CrEstimated,N/A,N/A,N/A,N/A,URL not available
New Delhi,Kia EV6,Rs65.90 Lakh*,N/A,N/A,N/A,N/A,URL not available
New Delhi,Renault Kiger,Rs6.10 - 11.23 Lakh*,N/A,N/A,N/A,N/A,URL not available
New Delhi,Renault KWID,Rs4.70 - 6.45 Lakh*,N/A,N/A,N/A,N/A,URL not available
New Delhi,Renault Triber,Rs6.10 - 8.97 Lakh*,N/A,N/A,N/A,N/A,URL not available
New Delhi,Aston Martin Vanquish,Rs8.85 Cr*,N/A,N/A,N/A,N/A,URL not available
New Delhi,Mahindra Scorpio N,Rs13.99 - 24.89 Lakh*,N/A,N/A,N/A,N/A,URL not available
New Delhi,Mahindra XUV700,Rs13.99 - 25.74 Lakh*,N/A,N/A,N/A,N/A,URL not available
New Delhi,Tata Curvv,Rs10 - 19.20 Lakh*,N/A,N/A,N/A,N/A,URL not available
New Delhi,Mahindra Thar ROXX,Rs12.99 - 23.09 Lakh*,N/A,N/A,N/A,N/A,URL not available
New Delhi,Hyundai Creta,Rs11.11 - 20.50 Lakh*,N/A,N/A,N/A,N/A,URL not available
New Delhi,Tata Nexon,Rs8 - 15.60 Lakh*,N/A,N/A,N/A,N/A,URL not available
New Delhi,Tata Punch,Rs6 - 10.32 Lakh*,N/A,N/A,N/A,N/A,URL not available
New Delhi,Maruti FRONX,Rs7.52 - 13.04 Lakh*,N/A,N/A,N/A,N/A,URL not available
New Delhi,Toyota Fortuner,Rs33.78 - 51.94 Lakh*,N/A,N/A,N/A,N/A,URL not available
New Delhi,Mahindra Scorpio,Rs13.62 - 17.50 Lakh*,N/A,N/A,N/A,N/A,URL not available
New Delhi,Maruti Swift,Rs6.49 - 9.64 Lakh*,N/A,N/A,N/A,N/A,URL not available
New Delhi,Maruti Baleno,Rs6.70 - 9.92 Lakh*,N/A,N/A,N/A,N/A,URL not available
New Delhi,Tata Tiago,Rs5 - 8.45 Lakh*,N/A,N/A,N/A,N/A,URL not available
New Delhi,Maruti Wagon R,Rs5.64 - 7.47 Lakh*,N/A,N/A,N/A,N/A,URL not available
New Delhi,Hyundai i20,Rs7.04 - 11.25 Lakh*,N/A,N/A,N/A,N/A,URL not available
New Delhi,Tata Altroz,Rs6.65 - 11.30 Lakh*,N/A,N/A,N/A,N/A,URL not available
New Delhi,Maruti Dzire,Rs6.84 - 10.19 Lakh*,N/A,N/A,N/A,N/A,URL not available
New Delhi,Hyundai Verna,Rs11.07 - 17.55 Lakh*,N/A,N/A,N/A,N/A,URL not available
New Delhi,Hyundai Aura,Rs6.54 - 9.11 Lakh*,N/A,N/A,N/A,N/A,URL not available
New Delhi,Volkswagen Virtus,Rs11.56 - 19.40 Lakh*,N/A,N/A,N/A,N/A,URL not available
New Delhi,Skoda Slavia,Rs10.34 - 18.24 Lakh*,N/A,N/A,N/A,N/A,URL not available
New Delhi,Honda Amaze,Rs8.10 - 11.20 Lakh*,N/A,N/A,N/A,N/A,URL not available
New Delhi,Maruti Ertiga,Rs8.84 - 13.13 Lakh*,N/A,N/A,N/A,N/A,URL not available
New Delhi,Toyota Innova Crysta,Rs19.99 - 26.82 Lakh*,N/A,N/A,N/A,N/A,URL not available
New Delhi,Kia Carens,Rs10.60 - 19.70 Lakh*,N/A,N/A,N/A,N/A,URL not available
New Delhi,Toyota Innova Hycross,Rs19.94 - 31.34 Lakh*,N/A,N/A,N/A,N/A,URL not available
New Delhi,Land Rover Defender,Rs1.04 - 2.79 Cr*,N/A,N/A,N/A,N/A,URL not available
New Delhi,Land Rover Range Rover,Rs2.40 - 4.98 Cr*,N/A,N/A,N/A,N/A,URL not available
New Delhi,Toyota Vellfire,Rs1.22 - 1.32 Cr*,N/A,N/A,N/A,N/A,URL not available
New Delhi,BMW XM,Rs2.60 Cr*,N/A,N/A,N/A,N/A,URL not available
New Delhi,BMW X5,Rs97 Lakh - 1.11 Cr*,N/A,N/A,N/A,N/A,URL not available
New Delhi,Land Rover Range Rover Velar,Rs87.90 Lakh*,N/A,N/A,N/A,N/A,URL not available
New Delhi,Mahindra BE 6,Rs18.90 - 26.90 Lakh*,N/A,N/A,N/A,N/A,URL not available
New Delhi,Mahindra XEV 9e,Rs21.90 - 30.50 Lakh*,N/A,N/A,N/A,N/A,URL not available
New Delhi,MG Windsor EV,Rs14 - 16 Lakh*,N/A,N/A,N/A,N/A,URL not available
New Delhi,Tata Curvv EV,Rs17.49 - 21.99 Lakh*,N/A,N/A,N/A,N/A,URL not available
New Delhi,MG Comet EV,Rs7 - 9.84 Lakh*,N/A,N/A,N/A,N/A,URL not available
New Delhi,Volkswagen Tiguan 2025,Rs55 LakhEstimated,N/A,N/A,N/A,N/A,URL not available
New Delhi,Skoda Kodiaq 2025,Rs40 LakhEstimated,N/A,N/A,N/A,N/A,URL not available
New Delhi,BMW 2 Series 2025,Rs46 LakhEstimated,N/A,N/A,N/A,N/A,URL not available
New Delhi,Renault Kiger 2025,Rs6 LakhEstimated,N/A,N/A,N/A,N/A,URL not available
New Delhi,Renault Triber 2025,Rs6 LakhEstimated,N/A,N/A,N/A,N/A,URL not available
New Delhi,Kia Carens 2025,Rs11 LakhEstimated,N/A,N/A,N/A,N/A,URL not available
New Delhi,Lamborghini Temerario,Rs6 CrEstimated,N/A,N/A,N/A,N/A,URL not available
New Delhi,Audi Q6 e-tron,Rs1 CrEstimated,N/A,N/A,N/A,N/A,URL not available
New Delhi,Kia EV6,Rs65.90 Lakh*,N/A,N/A,N/A,N/A,URL not available
New Delhi,Renault Kiger,Rs6.10 - 11.23 Lakh*,N/A,N/A,N/A,N/A,URL not available
New Delhi,Renault KWID,Rs4.70 - 6.45 Lakh*,N/A,N/A,N/A,N/A,URL not available
New Delhi,Renault Triber,Rs6.10 - 8.97 Lakh*,N/A,N/A,N/A,N/A,URL not available
New Delhi,Aston Martin Vanquish,Rs8.85 Cr*,N/A,N/A,N/A,N/A,URL not available
New Delhi,Mahindra Scorpio N,Rs13.99 - 24.89 Lakh*,N/A,N/A,N/A,N/A,URL not available
New Delhi,Mahindra XUV700,Rs13.99 - 25.74 Lakh*,N/A,N/A,N/A,N/A,URL not available
New Delhi,Tata Curvv,Rs10 - 19.20 Lakh*,N/A,N/A,N/A,N/A,URL not available
New Delhi,Mahindra Thar ROXX,Rs12.99 - 23.09 Lakh*,N/A,N/A,N/A,N/A,URL not available
New Delhi,Hyundai Creta,Rs11.11 - 20.50 Lakh*,N/A,N/A,N/A,N/A,URL not available
New Delhi,Tata Nexon,Rs8 - 15.60 Lakh*,N/A,N/A,N/A,N/A,URL not available
New Delhi,Tata Punch,Rs6 - 10.32 Lakh*,N/A,N/A,N/A,N/A,URL not available
New Delhi,Maruti FRONX,Rs7.52 - 13.04 Lakh*,N/A,N/A,N/A,N/A,URL not available
New Delhi,Toyota Fortuner,Rs33.78 - 51.94 Lakh*,N/A,N/A,N/A,N/A,URL not available
New Delhi,Mahindra Scorpio,Rs13.62 - 17.50 Lakh*,N/A,N/A,N/A,N/A,URL not available
New Delhi,Maruti Swift,Rs6.49 - 9.64 Lakh*,N/A,N/A,N/A,N/A,URL not available
New Delhi,Maruti Baleno,Rs6.70 - 9.92 Lakh*,N/A,N/A,N/A,N/A,URL not available
New Delhi,Tata Tiago,Rs5 - 8.45 Lakh*,N/A,N/A,N/A,N/A,URL not available
New Delhi,Maruti Wagon R,Rs5.64 - 7.47 Lakh*,N/A,N/A,N/A,N/A,URL not available
New Delhi,Hyundai i20,Rs7.04 - 11.25 Lakh*,N/A,N/A,N/A,N/A,URL not available
New Delhi,Tata Altroz,Rs6.65 - 11.30 Lakh*,N/A,N/A,N/A,N/A,URL not available
New Delhi,Maruti Dzire,Rs6.84 - 10.19 Lakh*,N/A,N/A,N/A,N/A,URL not available
New Delhi,Hyundai Verna,Rs11.07 - 17.55 Lakh*,N/A,N/A,N/A,N/A,URL not available
